"date","issue_number","category","circulation","temporal"
"1852-02-10","111","artikel","Verenigde Staten","Dag"
"1856-02-23","24","artikel","Regionaal/lokaal","Dag"
"1845-05-09","109","artikel","Landelijk","Dag"
"1847-12-24","103","artikel","Regionaal/lokaal","Dag"
"1850-03-02","43","artikel","Regionaal/lokaal","Dag"
"1848-11-16","274","artikel","Landelijk","Dag"
"1857-11-25","279","artikel","Regionaal/lokaal","Dag"
"1857-07-31","91","artikel","Regionaal/lokaal","Dag"
"1855-01-19","9","artikel","Regionaal/lokaal","Dag"
"1859-12-03","144","artikel","Regionaal/lokaal","Dag"
"1849-10-26","86","artikel","Regionaal/lokaal","Dag"
"1855-08-12","687","artikel","Landelijk","Dag"
"1854-11-22","277","artikel","Regionaal/lokaal","Dag"
"1858-06-01","3366","artikel","Landelijk","Dag"
"1853-09-17","98","artikel","Landelijk","Dag"
"1859-10-24","3791","artikel","Landelijk","Dag"
"1856-08-24","102","artikel","Regionaal/lokaal","Dag"
"1841-12-13","149","artikel","Regionaal/lokaal","Dag"
"1843-02-11","30","artikel","Regionaal/lokaal","Dag"
"1840-11-21","94","artikel","Nederlands-Indië / Indonesië","Dag"
"1853-09-23","225","artikel","Landelijk","Dag"
"1854-01-22","206","artikel","Landelijk","Dag"
"1860-06-02","129","artikel","Landelijk","Dag"
"1859-09-12","3755","artikel","Landelijk","Dag"
"1842-09-27","114","artikel","Regionaal/lokaal","Dag"
"1851-06-12","6089","artikel","Landelijk","Dag"
"1860-06-14","69","artikel","Regionaal/lokaal","Dag"
"1859-11-30","282","artikel","Regionaal/lokaal","Dag"
"1860-09-05","4054","artikel","Landelijk","Dag"
"1858-05-05","105","artikel","Regionaal/lokaal","Dag"
"1852-06-10","159","artikel","Landelijk","Dag"
"1852-06-17","166","artikel","Landelijk","Dag"
"1850-10-17","1064","artikel","Landelijk","Dag"
"1850-05-26","42","artikel","Regionaal/lokaal","Dag"
"1859-06-14","","artikel","Regionaal/lokaal","Dag"
"1850-09-24","111","artikel","Regionaal/lokaal","Dag"
"1860-10-24","252","artikel","Landelijk","Dag"
"1849-10-22","5584","artikel","Landelijk","Dag"
"1849-05-02","105","artikel","Landelijk","Dag"
"1855-01-31","27","artikel","Landelijk","Dag"
"1860-07-09","4005","artikel","Landelijk","Dag"
"1859-12-23","127","artikel","Regionaal/lokaal","Dag"
"1856-10-28","256","artikel","Landelijk","Dag"
"1848-10-05","238","artikel","Landelijk","Dag"
"1849-01-29","25","artikel","Landelijk","Dag"
"1855-07-05","2488","artikel","Landelijk","Dag"
"1851-01-24","11","artikel","Regionaal/lokaal","Dag"
"1859-01-18","15","artikel","Regionaal/lokaal","Dag"
"1845-07-05","157","artikel","Landelijk","Dag"
"1852-11-21","277","artikel","Landelijk","Dag"
"1845-04-18","47","artikel","Regionaal/lokaal","Dag"
"1853-09-01","70","artikel","Regionaal/lokaal","Dag"
"1859-04-15","8524","artikel","Landelijk","Dag"
"1856-08-11","189","artikel","Regionaal/lokaal","Dag"
"1850-01-29","9","artikel","Regionaal/lokaal","Dag"
"1850-10-31","106","artikel","Regionaal/lokaal","Middag"
"1848-05-23","41","artikel","Regionaal/lokaal","Dag"
"1848-09-19","75","artikel","Regionaal/lokaal","Dag"
"1851-11-06","1382","artikel","Landelijk","Dag"
"1854-07-25","86","artikel","Regionaal/lokaal","Dag"
"1850-08-08","34","artikel","Regionaal/lokaal","Middag"
"1841-09-27","116","artikel","Regionaal/lokaal","Dag"
"1848-04-11","77","artikel","Regionaal/lokaal","Dag"
"1851-02-04","10","artikel","Regionaal/lokaal","Dag"
"1850-06-22","564","artikel","Regionaal/lokaal","Middag"
"1855-10-20","249","artikel","Landelijk","Dag"
"1856-10-27","253","artikel","Regionaal/lokaal","Dag"
"1850-09-03","56","artikel","Regionaal/lokaal","Middag"
"1859-05-19","3661","artikel","Landelijk","Dag"
"1860-07-14","167","artikel","Regionaal/lokaal","Dag"
"1860-11-03","132","artikel","Regionaal/lokaal","Dag"
"1850-05-24","62","artikel","Regionaal/lokaal","Dag"
"1859-09-13","109","artikel","Regionaal/lokaal","Dag"
"1857-02-15","20","artikel","Regionaal/lokaal","Dag"
"1858-01-20","8141","artikel","Landelijk","Dag"
"1860-06-13","3984","artikel","Landelijk","Dag"
"1844-08-26","103","artikel","Landelijk","Dag"
"1860-03-13","31","artikel","Regionaal/lokaal","Dag"
"1859-04-25","3640","artikel","Landelijk","Dag"
"1853-09-02","207","artikel","Landelijk","Dag"
"1860-08-31","241","artikel","Landelijk","Dag"
"1848-10-16","49","artikel","Regionaal/lokaal","Middag"
"1858-08-02","179","artikel","Regionaal/lokaal","Dag"
"1840-03-29","64","artikel","Regionaal/lokaal","Dag"
"1843-11-07","89","artikel","Regionaal/lokaal","Dag"
"1852-10-02","1657","artikel","Landelijk","Dag"
"1856-07-30","91","artikel","Regionaal/lokaal","Dag"
"1851-07-10","1282","artikel","Landelijk","Dag"
"1843-10-10","121","artikel","Regionaal/lokaal","Dag"
"1860-08-09","93","artikel","Regionaal/lokaal","Dag"
"1860-04-17","92","artikel","Regionaal/lokaal","Dag"
"1859-08-11","95","artikel","Regionaal/lokaal","Dag"
"1850-10-29","1074","artikel","Landelijk","Dag"
"1860-09-06","4055","artikel","Landelijk","Dag"
"1852-08-18","1618","artikel","Landelijk","Dag"
"1860-06-23","73","artikel","Regionaal/lokaal","Dag"
"1859-04-02","40","artikel","Regionaal/lokaal","Dag"
"1848-12-11","97","artikel","Regionaal/lokaal","Middag"
"1851-08-02","1302","artikel","Landelijk","Dag"
"1849-01-11","10","artikel","Landelijk","Dag"
"1853-01-13","6","artikel","Regionaal/lokaal","Dag"
"1853-09-05","106","artikel","Regionaal/lokaal","Dag"
"1860-10-22","249","artikel","Regionaal/lokaal","Dag"
"1850-11-02","215","artikel","Regionaal/lokaal","Dag"
"1850-08-13","38","artikel","Regionaal/lokaal","Middag"
"1849-04-12","42","artikel","Regionaal/lokaal","Dag"
"1860-07-25","173","artikel","Regionaal/lokaal","Dag"
"1851-08-26","100","artikel","Regionaal/lokaal","Dag"
"1855-04-20","2427","artikel","Landelijk","Dag"
"1859-12-10","293","artikel","Landelijk","Dag"
"1845-09-09","181","artikel","Regionaal/lokaal","Dag"
"1850-10-14","243","artikel","Regionaal/lokaal","Dag"
"1848-11-02","64","artikel","Regionaal/lokaal","Middag"
"1860-06-22","146","artikel","Landelijk","Dag"
"1859-07-14","166","artikel","Regionaal/lokaal","Dag"
"1844-07-03","3941","artikel","Landelijk","Dag"
"1859-07-16","3707","artikel","Landelijk","Dag"
"1860-01-30","3872","artikel","Landelijk","Dag"
"1848-10-14","246","artikel","Landelijk","Dag"
"1849-05-10","223","artikel","Regionaal/lokaal","Dag"
"1848-03-14","31","artikel","Regionaal/lokaal","Dag"
"1843-10-26","128","artikel","Regionaal/lokaal","Dag"
"1850-05-11","91","artikel","Regionaal/lokaal","Dag"
"1854-08-24","2229","artikel","Landelijk","Dag"
"1859-11-18","3812","artikel","Landelijk","Dag"
"1852-05-17","1542","artikel","Landelijk","Dag"
"1842-02-04","10","artikel","Regionaal/lokaal","Dag"
"1846-04-15","86","artikel","Regionaal/lokaal","Dag"
"1860-12-03","285","artikel","Regionaal/lokaal","Dag"
"1851-08-23","99","artikel","Regionaal/lokaal","Dag"
"1857-02-19","22","artikel","Regionaal/lokaal","Dag"
"1856-11-21","277","artikel","Regionaal/lokaal","Dag"
"1860-10-10","239","artikel","Regionaal/lokaal","Dag"
"1859-03-05","55","artikel","Regionaal/lokaal","Dag"
"1850-05-15","58","artikel","Regionaal/lokaal","Dag"
"1856-05-20","2726","artikel","Landelijk","Dag"
"1851-04-03","1202","artikel","Landelijk","Dag"
"1853-08-04","182","artikel","Regionaal/lokaal","Dag"
"1859-08-19","197","artikel","Regionaal/lokaal","Dag"
"1846-05-09","55","artikel","Regionaal/lokaal","Dag"
"1859-07-02","156","artikel","Regionaal/lokaal","Dag"
"1859-05-31","43","artikel","Regionaal/lokaal","Dag"
"1843-11-07","3740","artikel","Landelijk","Dag"
"1855-08-09","189","artikel","Regionaal/lokaal","Dag"
"1849-04-02","40","artikel","Regionaal/lokaal","Dag"
"1849-11-20","135","artikel","Regionaal/lokaal","Dag"
"1858-10-15","243","artikel","Regionaal/lokaal","Dag"
"1842-07-29","90","artikel","Regionaal/lokaal","Dag"
"1855-10-03","3","artikel","Regionaal/lokaal","Dag"
"1848-06-30","78","artikel","Regionaal/lokaal","Dag"
"1851-11-12","136","artikel","Regionaal/lokaal","Dag"
"1842-08-05","3350","artikel","Landelijk","Dag"
"1860-04-18","91","artikel","Regionaal/lokaal","Dag"
"1860-06-22","3992","artikel","Landelijk","Dag"
"1857-04-05","81","artikel","Regionaal/lokaal","Dag"
"1849-02-07","26","artikel","Regionaal/lokaal","Dag"
"1853-10-22","250","artikel","Landelijk","Dag"
"1859-07-12","164","artikel","Regionaal/lokaal","Dag"
"1856-07-04","157","artikel","Landelijk","Dag"
"1852-12-09","1714","artikel","Landelijk","Dag"
"1855-08-05","62","artikel","Regionaal/lokaal","Dag"
"1856-09-28","117","artikel","Regionaal/lokaal","Dag"
"1848-08-16","98","artikel","Regionaal/lokaal","Dag"
"1855-02-09","2368","artikel","Landelijk","Dag"
"1841-12-03","97","artikel","Regionaal/lokaal","Dag"
"1843-10-17","205","artikel","Regionaal/lokaal","Dag"
"1843-11-07","133","artikel","Regionaal/lokaal","Dag"
"1849-08-22","101","artikel","Regionaal/lokaal","Dag"
"1848-03-11","51","artikel","Regionaal/lokaal","Dag"
"1849-02-28","26","artikel","Regionaal/lokaal","Dag"
"1850-03-12","50","artikel","Regionaal/lokaal","Dag"
"1859-08-20","100","artikel","Regionaal/lokaal","Dag"
"1860-05-16","115","artikel","Regionaal/lokaal","Dag"
"1860-05-12","3960","artikel","Landelijk","Dag"
"1841-02-24","2902","artikel","Landelijk","Dag"
"1848-05-17","59","artikel","Regionaal/lokaal","Dag"
"1845-03-05","28","artikel","Regionaal/lokaal","Dag"
"1859-02-06","32","artikel","Landelijk","Dag"
"1857-10-28","256","artikel","Regionaal/lokaal","Dag"
"1855-04-19","46","artikel","Regionaal/lokaal","Dag"
"1859-10-20","247","artikel","Regionaal/lokaal","Dag"
"1848-08-04","62","artikel","Regionaal/lokaal","Dag"
"1851-02-28","26","artikel","Regionaal/lokaal","Dag"
"1849-10-13","5577","artikel","Landelijk","Dag"
"1841-02-23","","artikel","Regionaal/lokaal","Dag"
"1853-08-04","1909","artikel","Landelijk","Dag"
"1859-08-30","3744","artikel","Landelijk","Dag"
"1860-05-28","3971","artikel","Landelijk","Dag"
"1854-07-22","2201","artikel","Landelijk","Dag"
"1851-08-01","1301","artikel","Landelijk","Dag"
"1860-01-19","3863","artikel","Landelijk","Dag"
"1857-01-14","12","artikel","Landelijk","Dag"
"1849-10-28","212","artikel","Regionaal/lokaal","Dag"
"1849-10-23","767","artikel","Landelijk","Dag"
"1848-08-26","6","artikel","Regionaal/lokaal","Middag"
"1854-09-10","214","artikel","Landelijk","Dag"
"1842-06-28","51","artikel","Regionaal/lokaal","Dag"
"1859-09-13","3756","artikel","Landelijk","Dag"
"1856-08-21","198","artikel","Landelijk","Dag"
"1859-09-02","206","artikel","Regionaal/lokaal","Dag"
"1856-02-27","25","artikel","Regionaal/lokaal","Dag"
"1859-05-20","","artikel","Regionaal/lokaal","Dag"
"1859-05-12","111","artikel","Regionaal/lokaal","Dag"
"1860-08-20","196","artikel","Landelijk","Dag"
"1858-06-17","3379","artikel","Landelijk","Dag"
"1843-05-29","64","artikel","Regionaal/lokaal","Dag"
"1859-08-20","195","artikel","Regionaal/lokaal","Dag"
"1851-03-13","21","artikel","Regionaal/lokaal","Dag"
"1852-11-21","94","artikel","Regionaal/lokaal","Dag"
"1851-04-01","26","artikel","Regionaal/lokaal","Dag"
"1853-12-12","171","artikel","Landelijk","Dag"
"1848-10-10","240","artikel","Regionaal/lokaal","Dag"
"1860-12-17","297","artikel","Regionaal/lokaal","Dag"
"1860-04-13","87","artikel","Regionaal/lokaal","Dag"
"1849-01-10","121","artikel","Regionaal/lokaal","Dag"
"1848-10-10","452","artikel","Landelijk","Dag"
"1850-12-27","57","artikel","Verenigde Staten","Dag"
"1851-09-08","108","artikel","Regionaal/lokaal","Dag"
"1859-10-01","118","artikel","Regionaal/lokaal","Dag"
"1860-03-21","35","artikel","Regionaal/lokaal","Dag"
"1849-03-01","164","artikel","Regionaal/lokaal","Dag"
"1851-08-12","1310","artikel","Landelijk","Dag"
"1858-09-25","226","artikel","Regionaal/lokaal","Dag"
"1859-06-04","130","artikel","Regionaal/lokaal","Dag"
"1850-07-25","37","artikel","Verenigde Staten","Dag"
"1843-06-16","72","artikel","Regionaal/lokaal","Dag"
"1859-01-19","16","artikel","Regionaal/lokaal","Dag"
"1840-11-29","238","artikel","Regionaal/lokaal","Dag"
"1856-03-20","69","artikel","Regionaal/lokaal","Dag"
"1856-06-13","138","artikel","Regionaal/lokaal","Dag"
"1850-09-17","75","artikel","Regionaal/lokaal","Dag"
"1850-04-26","99","artikel","Landelijk","Dag"
"1853-12-04","97","artikel","Regionaal/lokaal","Dag"
"1852-11-23","151","artikel","Verenigde Staten","Dag"
"1850-07-11","35","artikel","Verenigde Staten","Dag"
"1849-03-15","52","artikel","Regionaal/lokaal","Dag"
"1856-12-22","2934","artikel","Landelijk","Dag"
"1856-09-03","209","artikel","Regionaal/lokaal","Dag"
"1850-01-26","12","artikel","Regionaal/lokaal","Dag"
"1849-10-29","5590","artikel","Landelijk","Dag"
"1852-04-06","119","artikel","Verenigde Staten","Dag"
"1840-06-02","44","artikel","Regionaal/lokaal","Dag"
"1858-05-15","113","artikel","Regionaal/lokaal","Dag"
"1860-08-14","95","artikel","Regionaal/lokaal","Dag"
"1848-01-24","5043","artikel","Landelijk","Dag"
"1859-12-23","304","artikel","Landelijk","Dag"
"1850-10-15","120","artikel","Regionaal/lokaal","Dag"
"1860-12-12","293","artikel","Regionaal/lokaal","Dag"
"1846-08-06","170","artikel","Regionaal/lokaal","Dag"
"1851-11-11","133","artikel","Regionaal/lokaal","Dag"
"1858-05-15","57","artikel","Regionaal/lokaal","Dag"
"1857-02-17","2979","artikel","Landelijk","Dag"
"1859-02-22","3588","artikel","Landelijk","Dag"
"1858-04-20","8218","artikel","Landelijk","Dag"
"1850-10-15","124","artikel","Regionaal/lokaal","Dag"
"1860-09-20","111","artikel","Regionaal/lokaal","Dag"
"1850-10-02","1051","artikel","Landelijk","Dag"
"1853-03-02","10","artikel","Nederlands-Indië / Indonesië","Dag"
"1850-09-30","79","artikel","Regionaal/lokaal","Middag"
"1860-01-28","3871","artikel","Landelijk","Dag"
"1859-06-16","71","artikel","Regionaal/lokaal","Dag"
"1859-10-22","126","artikel","Regionaal/lokaal","Dag"
"1859-05-04","106","artikel","Regionaal/lokaal","Dag"
"1860-03-08","29","artikel","Regionaal/lokaal","Dag"
"1850-01-08","4","artikel","Regionaal/lokaal","Dag"
"1846-04-15","90","artikel","Landelijk","Dag"
"1848-10-22","221","artikel","Regionaal/lokaal","Dag"
"1848-11-13","271","artikel","Landelijk","Dag"
"1855-08-04","2514","artikel","Landelijk","Dag"
"1860-10-28","87","artikel","Regionaal/lokaal","Dag"
"1846-11-05","235","artikel","Regionaal/lokaal","Dag"
"1859-07-19","170","artikel","Regionaal/lokaal","Dag"
"1852-01-10","5","artikel","Regionaal/lokaal","Dag"
"1843-11-07","133","artikel","Regionaal/lokaal","Dag"
"1851-04-24","48","artikel","Regionaal/lokaal","Dag"
"1860-11-13","136","artikel","Regionaal/lokaal","Dag"
"1859-07-22","170","artikel","Regionaal/lokaal","Dag"
"1859-10-06","3776","artikel","Landelijk","Dag"
"1856-12-04","286","artikel","Regionaal/lokaal","Dag"
"1851-08-29","69","artikel","Regionaal/lokaal","Dag"
"1859-12-07","3828","artikel","Landelijk","Dag"
"1849-06-27","262","artikel","Regionaal/lokaal","Dag"
"1850-07-20","83","artikel","Regionaal/lokaal","Dag"
"1854-03-08","67","artikel","Landelijk","Dag"
"1847-09-22","189","artikel","Regionaal/lokaal","Dag"
"1846-03-12","31","artikel","Regionaal/lokaal","Dag"
"1848-10-29","226","artikel","Regionaal/lokaal","Dag"
"1840-03-28","38","artikel","Regionaal/lokaal","Dag"
"1858-03-17","64","artikel","Regionaal/lokaal","Dag"
"1846-02-25","45","artikel","Regionaal/lokaal","Dag"
"1848-02-10","5058","artikel","Landelijk","Dag"
"1859-05-29","43","artikel","Regionaal/lokaal","Dag"
"1859-07-28","175","artikel","Regionaal/lokaal","Dag"
"1851-11-29","283","artikel","Landelijk","Dag"
"1857-05-27","63","artikel","Regionaal/lokaal","Dag"
"1853-08-22","100","artikel","Regionaal/lokaal","Dag"
"1860-07-25","4019","artikel","Landelijk","Dag"
"1848-03-05","47","artikel","Regionaal/lokaal","Dag"
"1840-06-23","122","artikel","Regionaal/lokaal","Dag"
"1848-03-04","23","artikel","Regionaal/lokaal","Dag"
"1845-12-29","306","artikel","Landelijk","Dag"
"1860-05-26","145","artikel","Landelijk","Dag"
"1846-11-24","64","artikel","Landelijk","Dag"
"1848-02-05","5054","artikel","Landelijk","Dag"
"1853-10-12","1967","artikel","Landelijk","Dag"
"1859-07-06","3698","artikel","Landelijk","Dag"
"1859-01-04","3547","artikel","Landelijk","Dag"
"1854-10-04","79","artikel","Regionaal/lokaal","Dag"
"1853-05-31","16","artikel","Landelijk","Dag"
"1844-08-31","35","artikel","Nederlandse Antillen","Dag"
"1850-11-14","118","artikel","Regionaal/lokaal","Middag"
"1848-02-05","31","artikel","Landelijk","Dag"
"1860-09-10","213","artikel","Regionaal/lokaal","Dag"
"1849-04-01","64","artikel","Regionaal/lokaal","Dag"
"1849-02-10","148","artikel","Regionaal/lokaal","Dag"
"1849-01-18","16","artikel","Landelijk","Dag"
"1851-05-18","118","artikel","Landelijk","Dag"
"1850-03-05","27","artikel","Regionaal/lokaal","Dag"
"1860-07-03","156","artikel","Regionaal/lokaal","Dag"
"1860-06-25","76","artikel","Regionaal/lokaal","Dag"
"1860-08-06","183","artikel","Regionaal/lokaal","Dag"
"1859-12-28","3845","artikel","Landelijk","Dag"
"1856-10-16","2878","artikel","Landelijk","Dag"
"1859-09-14","84","artikel","Regionaal/lokaal","Dag"
"1850-04-16","74","artikel","Regionaal/lokaal","Dag"
"1859-06-10","3678","artikel","Landelijk","Dag"
"1849-06-01","240","artikel","Regionaal/lokaal","Dag"
"1850-10-01","192","artikel","Regionaal/lokaal","Dag"
"1855-01-29","25","artikel","Regionaal/lokaal","Dag"
"1859-05-05","3649","artikel","Landelijk","Dag"
"1847-05-19","60","artikel","Regionaal/lokaal","Dag"
"1859-05-31","127","artikel","Regionaal/lokaal","Dag"
"1859-04-28","99","artikel","Regionaal/lokaal","Dag"
"1850-07-23","20","artikel","Regionaal/lokaal","Middag"
"1851-01-11","5","artikel","Regionaal/lokaal","Dag"
"1853-08-21","197","artikel","Landelijk","Dag"
"1856-05-22","60","artikel","Regionaal/lokaal","Dag"
"1841-11-11","3124","artikel","Landelijk","Dag"
"1860-08-25","202","artikel","Regionaal/lokaal","Dag"
"1848-12-07","290","artikel","Regionaal/lokaal","Dag"
"1852-03-11","6322","artikel","Landelijk","Dag"
"1849-05-31","62","artikel","Regionaal/lokaal","Dag"
"1850-06-01","63","artikel","Regionaal/lokaal","Dag"
"1850-11-16","138","artikel","Regionaal/lokaal","Dag"
"1849-12-24","414","artikel","Regionaal/lokaal","Dag"
"1860-08-16","192","artikel","Regionaal/lokaal","Dag"
"1856-07-17","168","artikel","Landelijk","Dag"
"1842-03-23","59","artikel","Regionaal/lokaal","Dag"
"1849-02-28","163","artikel","Regionaal/lokaal","Dag"
"1859-11-23","3816","artikel","Landelijk","Dag"
"1846-11-17","92","artikel","Regionaal/lokaal","Dag"
"1840-05-29","43","artikel","Regionaal/lokaal","Dag"
"1860-03-06","","artikel","Regionaal/lokaal","Dag"
"1846-12-14","298","artikel","Landelijk","Dag"
"1850-09-07","212","artikel","Landelijk","Dag"
"1852-07-24","174","artikel","Landelijk","Dag"
"1850-03-31","64","artikel","Regionaal/lokaal","Dag"
"1843-11-21","139","artikel","Regionaal/lokaal","Dag"
"1857-02-05","7845","artikel","Landelijk","Dag"
"1859-01-15","8447","artikel","Landelijk","Dag"
"1859-07-31","180","artikel","Landelijk","Dag"
"1850-12-10","99","artikel","Regionaal/lokaal","Dag"
"1848-11-07","","artikel","Regionaal/lokaal","Dag"
"1849-05-08","37","artikel","Regionaal/lokaal","Dag"
"1854-10-07","80","artikel","Regionaal/lokaal","Dag"
"1852-01-09","6269","artikel","Landelijk","Dag"
"1860-08-11","221","artikel","Landelijk","Dag"
"1849-05-07","55","artikel","Regionaal/lokaal","Dag"
"1848-07-14","56","artikel","Regionaal/lokaal","Dag"
"1846-10-20","124","artikel","Regionaal/lokaal","Dag"
"1856-12-27","104","artikel","Regionaal/lokaal","Dag"
"1857-11-11","3201","artikel","Landelijk","Dag"
"1851-05-17","6069","artikel","Landelijk","Dag"
"1857-06-09","69","artikel","Regionaal/lokaal","Dag"
"1856-10-05","237","artikel","Landelijk","Dag"
"1857-09-18","221","artikel","Landelijk","Dag"
"1857-09-18","221","artikel","Regionaal/lokaal","Dag"
"1855-10-09","121","artikel","Regionaal/lokaal","Dag"
"1859-08-17","195","artikel","Regionaal/lokaal","Dag"
"1842-06-19","119","artikel","Regionaal/lokaal","Dag"
"1858-07-08","159","artikel","Landelijk","Dag"
"1848-07-14","56","artikel","Regionaal/lokaal","Dag"
"1842-03-22","3236","artikel","Landelijk","Dag"
"1860-07-23","4017","artikel","Landelijk","Dag"
"1846-02-15","20","artikel","Regionaal/lokaal","Dag"
"1841-09-17","112","artikel","Regionaal/lokaal","Dag"
"1850-09-28","113","artikel","Regionaal/lokaal","Dag"
"1850-10-03","194","artikel","Regionaal/lokaal","Dag"
"1850-12-06","98","artikel","Regionaal/lokaal","Dag"
"1860-01-07","6","artikel","Landelijk","Dag"
"1843-11-04","3738","artikel","Landelijk","Dag"
"1849-05-20","97","artikel","Regionaal/lokaal","Dag"
"1845-01-14","12","artikel","Landelijk","Dag"
"1847-05-26","63","artikel","Regionaal/lokaal","Dag"
"1860-02-07","3879","artikel","Landelijk","Dag"
"1857-01-23","10","artikel","Regionaal/lokaal","Dag"
"1842-06-11","47","artikel","Suriname","Dag"
"1851-06-11","136","artikel","Landelijk","Dag"
"1851-02-17","21","artikel","Regionaal/lokaal","Dag"
"1843-05-18","3594","artikel","Landelijk","Dag"
"1857-10-12","241","artikel","Landelijk","Dag"
"1860-05-26","145","artikel","Landelijk","Dag"
"1851-01-21","1141","artikel","Landelijk","Dag"
"1859-08-19","3735","artikel","Landelijk","Dag"
"1851-03-05","28","artikel","Regionaal/lokaal","Dag"
"1852-02-19","15","artikel","Regionaal/lokaal","Dag"
"1852-03-26","25","artikel","Regionaal/lokaal","Dag"
"1859-04-28","34","artikel","Nederlands-Indië / Indonesië","Dag"
"1850-09-13","217","artikel","Regionaal/lokaal","Dag"
"1852-08-17","97","artikel","Regionaal/lokaal","Dag"
"1849-01-26","135","artikel","Regionaal/lokaal","Dag"
"1849-05-05","55","artikel","Regionaal/lokaal","Dag"
"1846-11-13","91","artikel","Regionaal/lokaal","Dag"
"1845-05-31","127","artikel","Landelijk","Dag"
"1854-09-28","7114","artikel","Landelijk","Dag"
"1853-01-28","24","artikel","Landelijk","Dag"
"1860-06-09","134","artikel","Regionaal/lokaal","Dag"
"1858-09-27","267","artikel","Landelijk","Dag"
"1846-03-16","4468","artikel","Landelijk","Dag"
"1860-04-14","44","artikel","Regionaal/lokaal","Dag"
"1848-04-13","45","artikel","Regionaal/lokaal","Dag"
"1848-04-22","97","artikel","Regionaal/lokaal","Dag"
"1860-07-31","179","artikel","Landelijk","Dag"
"1850-11-08","113","artikel","Regionaal/lokaal","Middag"
"1847-11-16","92","artikel","Regionaal/lokaal","Dag"
"1860-09-14","220","artikel","Regionaal/lokaal","Dag"
"1858-01-22","18","artikel","Regionaal/lokaal","Dag"
"1845-10-09","119","artikel","Regionaal/lokaal","Dag"
"1854-09-02","70","artikel","Regionaal/lokaal","Dag"
"1857-12-10","292","artikel","Regionaal/lokaal","Dag"
"1849-09-26","338","artikel","Regionaal/lokaal","Dag"
"1849-11-19","139","artikel","Regionaal/lokaal","Dag"
"1845-11-25","94","artikel","Regionaal/lokaal","Dag"
"1860-07-07","158","artikel","Regionaal/lokaal","Dag"
"1860-09-04","210","artikel","Regionaal/lokaal","Dag"
"1848-02-16","40","artikel","Landelijk","Dag"
"1853-05-03","4","artikel","Landelijk","Dag"
"1848-03-08","58","artikel","Regionaal/lokaal","Dag"
"1860-02-17","3888","artikel","Landelijk","Dag"
"1851-08-21","1317","artikel","Landelijk","Dag"
"1852-03-05","1482","artikel","Landelijk","Dag"
"1857-09-03","3142","artikel","Landelijk","Dag"
"1860-03-29","3923","artikel","Landelijk","Dag"
"1856-03-31","2712","artikel","Landelijk","Dag"
"1860-12-04","4130","artikel","Landelijk","Dag"
"1842-03-06","47","artikel","Regionaal/lokaal","Dag"
"1855-07-22","88","artikel","Regionaal/lokaal","Dag"
"1860-12-28","306","artikel","Regionaal/lokaal","Dag"
"1852-12-19","102","artikel","Regionaal/lokaal","Dag"
"1858-01-01","1","artikel","Regionaal/lokaal","Dag"
"1840-03-05","28","artikel","Regionaal/lokaal","Dag"
"1853-03-04","54","artikel","Landelijk","Dag"
"1855-10-09","241","artikel","Regionaal/lokaal","Dag"
"1848-10-09","121","artikel","Regionaal/lokaal","Dag"
"1842-10-27","127","artikel","Regionaal/lokaal","Dag"
"1848-10-16","124","artikel","Regionaal/lokaal","Dag"
"1848-11-22","81","artikel","Regionaal/lokaal","Middag"
"1850-08-16","5836","artikel","Landelijk","Dag"
"1848-03-15","32","artikel","Regionaal/lokaal","Dag"
"1855-05-01","2436","artikel","Landelijk","Dag"
"1855-07-12","81","artikel","Regionaal/lokaal","Dag"
"1860-08-31","241","artikel","Landelijk","Dag"
"1860-11-15","272","artikel","Regionaal/lokaal","Dag"
"1843-03-11","30","artikel","Regionaal/lokaal","Dag"
"1856-11-05","2894","artikel","Landelijk","Dag"
"1859-04-21","3637","artikel","Landelijk","Dag"
"1860-10-25","4097","artikel","Landelijk","Dag"
"1856-07-28","2810","artikel","Landelijk","Dag"
"1854-09-23","7110","artikel","Landelijk","Dag"
"1856-09-17","221","artikel","Landelijk","Dag"
"1840-11-24","141","artikel","Regionaal/lokaal","Dag"
"1860-09-18","110","artikel","Regionaal/lokaal","Dag"
"1857-03-17","33","artikel","Regionaal/lokaal","Dag"
"1859-02-08","32","artikel","Regionaal/lokaal","Dag"
"1859-02-18","42","artikel","Regionaal/lokaal","Dag"
"1860-01-24","3867","artikel","Landelijk","Dag"
"1859-03-18","66","artikel","Regionaal/lokaal","Dag"
"1842-01-25","7","artikel","Regionaal/lokaal","Dag"
"1860-03-08","58","artikel","Landelijk","Dag"
"1849-11-29","393","artikel","Regionaal/lokaal","Dag"
"1849-12-10","148","artikel","Regionaal/lokaal","Dag"
"1848-03-17","66","artikel","Landelijk","Dag"
"1842-07-21","87","artikel","Regionaal/lokaal","Dag"
"1849-11-06","778","artikel","Landelijk","Dag"
"1849-05-04","107","artikel","Landelijk","Dag"
"1848-08-11","64","artikel","Regionaal/lokaal","Dag"
"1846-04-20","47","artikel","Regionaal/lokaal","Dag"
"1849-07-12","275","artikel","Regionaal/lokaal","Dag"
"1852-09-15","219","artikel","Landelijk","Dag"
"1860-10-25","9001","artikel","Landelijk","Dag"
"1853-05-29","125","artikel","Landelijk","Dag"
"1851-04-24","48","artikel","Regionaal/lokaal","Dag"
